loan_id,amount_loan,duration_loan,payments_loan,status_loan,frequency_account,n.of trans,op 1,op 2,op 3,op 4,op 5,type 1,type 2,type 3,avg trans amount,avg trans balance,n_banks,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant rate '95,unemploymant rate '96,nr_clients,birth_date,sex,has card,criminality per capita 95,criminality per capita 96,age_loan,age_account_loan
5314.0,96396.0,12.0,8033.0,1.0,1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5025.0,12250.0,0.0,94812.0,15.0,13.0,8.0,2.0,10.0,81.8,9650.0,3.38,3.67,1.0,470722,0,0,3.564949584440788e-05,3.8708180399105596e-05,45.9983,0.0383
5316.0,165960.0,36.0,4610.0,0.0,0,37.0,12.0,0.0,12.0,0.0,8.0,18.0,2.0,17.0,11015.64,52083.86,3.0,112709.0,48.0,20.0,7.0,3.0,10.0,73.5,8369.0,1.79,2.31,1.0,680722,1,0,1.588160661526586e-05,2.0495257699030246e-05,24.9989,0.0498
6863.0,127080.0,60.0,2118.0,0.0,0,24.0,2.0,0.0,6.0,5.0,3.0,9.0,0.0,15.0,5417.46,30060.95,2.0,77917.0,85.0,19.0,6.0,1.0,5.0,53.5,8390.0,2.28,2.89,1.0,360602,1,0,2.926190690093304e-05,3.7090750413901976e-05,57.0126,0.052
6668.0,74736.0,36.0,2076.0,0.0,0,67.0,14.0,0.0,33.0,0.0,8.0,41.0,0.0,26.0,8191.96,37913.0,1.0,77917.0,85.0,19.0,6.0,1.0,5.0,53.5,8390.0,2.28,2.89,1.0,651029,1,0,2.926190690093304e-05,3.7090750413901976e-05,28.9701,1.0104
5160.0,204000.0,60.0,3400.0,0.0,0,65.0,2.0,0.0,32.0,12.0,8.0,37.0,3.0,25.0,7701.99,37809.4,2.0,77917.0,85.0,19.0,6.0,1.0,5.0,53.5,8390.0,2.28,2.89,1.0,440506,1,0,2.926190690093304e-05,3.7090750413901976e-05,51.0712,1.0001
6461.0,74124.0,36.0,2059.0,0.0,1,122.0,24.0,0.0,50.0,0.0,33.0,83.0,0.0,39.0,9023.63,54371.3,3.0,107870.0,84.0,29.0,6.0,1.0,6.0,58.0,8754.0,3.83,4.31,1.0,390413,0,0,3.550570130712895e-05,3.9955501993139886e-05,57.0506,1.051
7271.0,392460.0,60.0,6541.0,0.0,0,143.0,2.0,0.0,79.0,22.0,18.0,88.0,9.0,46.0,12882.52,57131.74,2.0,107870.0,84.0,29.0,6.0,1.0,6.0,58.0,8754.0,3.83,4.31,2.0,801113,0,0,3.550570130712895e-05,3.9955501993139886e-05,15.9889,1.9878
6820.0,38148.0,12.0,3179.0,0.0,0,29.0,2.0,0.0,7.0,6.0,4.0,10.0,1.0,18.0,8369.56,37462.09,4.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,650122,0,0,2.4067328767180127e-07,3.568603920650847e-07,28.1094,0.0588
4959.0,80952.0,24.0,3373.0,0.0,0,54.0,2.0,0.0,27.0,10.0,5.0,29.0,3.0,22.0,7954.26,32590.62,2.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,2.0,450204,1,0,2.4067328767180127e-07,3.568603920650847e-07,48.9901,0.9879
6499.0,80952.0,24.0,3373.0,0.0,0,54.0,2.0,0.0,27.0,10.0,5.0,29.0,3.0,22.0,7937.75,33312.54,2.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,2.0,450204,1,0,2.4067328767180127e-07,3.568603920650847e-07,48.9901,0.9879
