loan_id,account_id,date_of_loan,amount_loan,duration_loan,payments_loan,status_loan,district_id,frequency_account,date_of_creation,n.of trans,op 1,op 2,op 3,op 4,op 5,type 1,type 2,type 3,avg trans amount,avg trans balance,n_banks,name,region,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant rate '95,unemploymant rate '96,no. of enterpreneurs per 1000 inhabitants,no. of commited crimes '95,no. of commited crimes '96 ,disp_id,client_id,type,nr_clients,card_id,card type,issued,birth_number,birth_date,sex
5314.0,1787.0,930705.0,96396.0,12.0,8033.0,-1.0,30.0,weekly issuance,930322.0,4.0,4.0,,,,,,,4.0,5025.0,12250.0,0.0,Sokolov,west Bohemia,94812.0,15.0,13.0,8.0,2.0,10.0,81.8,9650.0,3.38,3.67,100.0,2985,2804.0,2166,2166.0,OWNER,1.0,,,,475722,470722,0
5316.0,1801.0,930711.0,165960.0,36.0,4610.0,1.0,46.0,monthly issuance,930213.0,37.0,12.0,,12.0,,8.0,18.0,2.0,17.0,11015.64,52083.86,3.0,Nachod,east Bohemia,112709.0,48.0,20.0,7.0,3.0,10.0,73.5,8369.0,1.79,2.31,117.0,2854,2618.0,2181,2181.0,OWNER,1.0,,,,680722,680722,1
6863.0,9188.0,930728.0,127080.0,60.0,2118.0,1.0,45.0,monthly issuance,930208.0,24.0,2.0,,6.0,5.0,3.0,9.0,,15.0,5417.46,30060.95,2.0,Jicin,east Bohemia,77917.0,85.0,19.0,6.0,1.0,5.0,53.5,8390.0,2.28,2.89,132.0,2080,2122.0,11006,11314.0,OWNER,1.0,,,,360602,360602,1
6668.0,8129.0,940730.0,74736.0,36.0,2076.0,1.0,45.0,monthly issuance,930626.0,67.0,14.0,,33.0,,8.0,41.0,,26.0,8191.96,37913.0,1.0,Jicin,east Bohemia,77917.0,85.0,19.0,6.0,1.0,5.0,53.5,8390.0,2.28,2.89,132.0,2080,2122.0,9735,10043.0,OWNER,1.0,,,,651029,651029,1
5160.0,1011.0,951218.0,204000.0,60.0,3400.0,1.0,45.0,monthly issuance,941217.0,65.0,2.0,,32.0,12.0,8.0,37.0,3.0,25.0,7701.99,37809.4,2.0,Jicin,east Bohemia,77917.0,85.0,19.0,6.0,1.0,5.0,53.5,8390.0,2.28,2.89,132.0,2080,2122.0,1215,1215.0,OWNER,1.0,,,,440506,440506,1
6461.0,7136.0,960919.0,74124.0,36.0,2059.0,1.0,12.0,weekly issuance,950409.0,122.0,24.0,,50.0,,33.0,83.0,,39.0,9023.63,54371.3,3.0,Pribram,central Bohemia,107870.0,84.0,29.0,6.0,1.0,6.0,58.0,8754.0,3.83,4.31,137.0,3804,3868.0,8615,8615.0,OWNER,1.0,,,,395413,390413,0
7271.0,11186.0,961002.0,392460.0,60.0,6541.0,1.0,12.0,monthly issuance,941124.0,143.0,2.0,,79.0,22.0,18.0,88.0,9.0,46.0,12882.52,57131.74,2.0,Pribram,central Bohemia,107870.0,84.0,29.0,6.0,1.0,6.0,58.0,8754.0,3.83,4.31,137.0,3804,3868.0,13442,13750.0,OWNER,2.0,,,,806113,801113,0
6820.0,9034.0,931216.0,38148.0,12.0,3179.0,1.0,1.0,monthly issuance,930628.0,29.0,2.0,,7.0,6.0,4.0,10.0,1.0,18.0,8369.56,37462.09,4.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,10818,11126.0,OWNER,1.0,,,,655122,650122,0
4959.0,2.0,940105.0,80952.0,24.0,3373.0,1.0,1.0,monthly issuance,930226.0,54.0,2.0,,27.0,10.0,5.0,29.0,3.0,22.0,7954.26,32590.62,2.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,2,2.0,OWNER,2.0,,,,450204,450204,1
6499.0,7401.0,940105.0,80952.0,24.0,3373.0,1.0,1.0,monthly issuance,930226.0,54.0,2.0,,27.0,10.0,5.0,29.0,3.0,22.0,7937.75,33312.54,2.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,8865,9173.0,OWNER,2.0,,,,450204,450204,1
5479.0,2486.0,940110.0,24516.0,12.0,2043.0,1.0,1.0,monthly issuance,930227.0,73.0,21.0,,42.0,,,33.0,9.0,31.0,16201.56,55582.23,0.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,3001,3001.0,OWNER,1.0,,,,581007,581007,1
6736.0,8558.0,940614.0,288360.0,60.0,4806.0,1.0,1.0,issuance after transaction,940227.0,10.0,4.0,,2.0,,,2.0,,8.0,8585.04,33211.76,0.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,10247,10555.0,OWNER,1.0,,,,351215,351215,1
7220.0,10911.0,940728.0,131292.0,36.0,3647.0,1.0,1.0,weekly issuance,930529.0,83.0,2.0,,44.0,14.0,10.0,53.0,1.0,29.0,7915.58,36635.12,2.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,13104,13412.0,OWNER,1.0,,,,540320,540320,1
6919.0,9403.0,940805.0,120888.0,36.0,3358.0,1.0,1.0,weekly issuance,930327.0,96.0,21.0,,48.0,,12.0,56.0,4.0,36.0,9301.09,40838.76,1.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,11266,11574.0,OWNER,1.0,,,,445420,440420,0
6038.0,5120.0,940810.0,323472.0,48.0,6739.0,1.0,1.0,monthly issuance,930621.0,57.0,19.0,,24.0,,5.0,25.0,4.0,28.0,12422.02,45414.07,1.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,6178,6178.0,OWNER,1.0,,,,406015,401015,0
6229.0,6040.0,941002.0,11736.0,24.0,489.0,1.0,1.0,monthly issuance,930422.0,133.0,19.0,,59.0,,38.0,97.0,,36.0,6032.84,42224.44,3.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,7299,7299.0,OWNER,1.0,,,,380916,380916,1
7142.0,10451.0,941219.0,482940.0,60.0,8049.0,-1.0,1.0,monthly issuance,930829.0,130.0,26.0,,40.0,,34.0,74.0,,56.0,4060.68,26358.75,3.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,12551,12859.0,OWNER,1.0,,,,765521,760521,0
5576.0,2962.0,941221.0,31248.0,12.0,2604.0,1.0,1.0,monthly issuance,930530.0,120.0,33.0,,69.0,,,61.0,8.0,51.0,13845.46,64493.1,0.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,3576,3576.0,OWNER,1.0,,,,395315,390315,0
5739.0,3747.0,950102.0,76380.0,12.0,6365.0,1.0,1.0,monthly issuance,940501.0,45.0,12.0,,13.0,,12.0,25.0,,20.0,3571.59,26122.85,2.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,4520,4520.0,OWNER,1.0,,,,575628,570628,0
6244.0,6118.0,950108.0,270648.0,36.0,7518.0,-1.0,1.0,weekly issuance,940307.0,72.0,16.0,,36.0,,,36.0,,36.0,12958.56,60819.98,0.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,7390,7390.0,OWNER,1.0,,,,371104,371104,1
6960.0,9640.0,950111.0,76416.0,24.0,3184.0,1.0,1.0,monthly issuance,930313.0,153.0,13.0,,60.0,22.0,36.0,89.0,7.0,57.0,6527.34,31375.16,3.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,11558,11866.0,OWNER,2.0,,,,370902,370902,1
5724.0,3678.0,950205.0,316140.0,60.0,5269.0,-1.0,1.0,monthly issuance,930324.0,139.0,38.0,,79.0,,,79.0,,60.0,3872.07,18632.93,0.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,4433,4433.0,OWNER,1.0,,,,680222,680222,1
7241.0,11021.0,950304.0,168984.0,24.0,7041.0,-1.0,1.0,monthly issuance,930810.0,160.0,36.0,,86.0,,,78.0,8.0,74.0,11357.39,56054.0,0.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,13240,13548.0,OWNER,1.0,,,,760318,760318,1
6546.0,7607.0,950327.0,31728.0,24.0,1322.0,1.0,1.0,monthly issuance,930905.0,117.0,23.0,,62.0,,14.0,76.0,,41.0,5173.09,31139.75,1.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,9110,9418.0,OWNER,2.0,,,,500410,500410,1
5740.0,3752.0,950402.0,18564.0,12.0,1547.0,1.0,1.0,monthly issuance,941125.0,13.0,5.0,,4.0,,,4.0,,9.0,8589.67,35538.05,0.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,4527,4527.0,OWNER,1.0,,,,635204,630204,0
7008.0,9897.0,950922.0,36168.0,12.0,3014.0,1.0,1.0,monthly issuance,950304.0,36.0,2.0,,13.0,7.0,8.0,20.0,1.0,15.0,6931.62,39063.77,3.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,11873,12181.0,OWNER,1.0,,,,610819,610819,1
7057.0,10093.0,951020.0,231696.0,36.0,6436.0,1.0,1.0,weekly issuance,940701.0,126.0,3.0,,57.0,16.0,35.0,83.0,9.0,34.0,10683.37,45873.62,3.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,12108,12416.0,OWNER,2.0,,,,730530,730530,1
7304.0,11349.0,951029.0,419880.0,60.0,6998.0,1.0,1.0,weekly issuance,950526.0,18.0,2.0,,6.0,5.0,1.0,7.0,,11.0,24426.47,59352.83,1.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,13647,13955.0,OWNER,2.0,,,,456030,451030,0
6185.0,5774.0,951128.0,31176.0,24.0,1299.0,1.0,1.0,monthly issuance,950608.0,23.0,7.0,,9.0,,2.0,11.0,,12.0,9027.32,46304.15,2.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,6987,6987.0,OWNER,1.0,,,,680129,680129,1
6785.0,8899.0,951225.0,125340.0,60.0,2089.0,1.0,1.0,weekly issuance,940905.0,127.0,29.0,,57.0,,13.0,62.0,8.0,57.0,9686.67,51145.52,1.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,10655,10963.0,OWNER,1.0,,,,440615,440615,1
6698.0,8327.0,960310.0,247728.0,48.0,5161.0,1.0,1.0,weekly issuance,950808.0,50.0,11.0,,21.0,,6.0,25.0,2.0,23.0,12112.08,60054.73,2.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,9974,10282.0,OWNER,1.0,,,,790619,790619,1
6063.0,5213.0,960425.0,320976.0,48.0,6687.0,-1.0,1.0,monthly issuance,950818.0,50.0,1.0,,27.0,8.0,,24.0,3.0,23.0,15093.96,49482.97,1.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,6299,6299.0,OWNER,1.0,,,,360809,360809,1
5429.0,2268.0,960718.0,20196.0,36.0,561.0,1.0,1.0,monthly issuance,950211.0,96.0,18.0,,49.0,,13.0,62.0,,34.0,8501.32,52636.6,1.0,Hl.m. Praha,Prague,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,167.0,85677,99107.0,2746,2746.0,OWNER,1.0,,,,710225,710225,1
